Unnamed: 0,brand,name,price,n_of_reviews,n_of_loves,review_score,size,clean_product,category_Anti-Aging,category_BB_&_CC_Cream,category_Bath_&_Shower,category_Beauty_Supplements,category_Blemish_&_Acne_Treatments,category_Blotting_Papers,category_Body_Lotions_&_Body_Oils,category_Cellulite_&_Stretch_Marks,category_Decollete_&_Neck_Creams,category_Exfoliators,category_Eye_Creams_&_Treatments,category_Eye_Masks,category_Face_Masks,category_Face_Oils,category_Face_Primer,category_Face_Serums,category_Face_Sunscreen,category_Face_Wash_&_Cleansers,category_Facial_Peels,category_Foundation,category_Hair_Oil,category_Highlighter,category_Holistic_Wellness,category_Mini_Size,category_Mists_&_Essences,category_Moisturizer_&_Treatments,category_Moisturizers,category_Night_Creams,category_Setting_Spray_&_Powder,category_Sheet_Masks,category_Skincare,category_Tinted_Moisturizer,category_Toners,category_Tools,category_Value_&_Gift_Sets,reviews_to_loves_ratio,return_on_reviews,price_per_ounce,product_name_std,brand_name_std,match_key,category
117,Bobbi Brown,BB Cream SPF 35,47.0,657,27579,3.9269,1.35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38,0.6,34.81,bb_cream_spf_35,bobbi_brown,bobbi_brown_bb_cream_spf_35,Moisturizers
118,Farmacy,Honey Drop Lightweight Moisturizer,45.0,594,31677,4.1178,1.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.88,0.69,26.47,honey_drop_lightweight_moisturizer,farmacy,farmacy_honey_drop_lightweight_moisturizer,Moisturizers
119,SEPHORA COLLECTION,Nourishing Moisturizer - Hydrate & Repair,16.0,100,9753,4.44,1.69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.03,4.44,9.47,nourishing_moisturizer_hydrate_repair,sephora_collection,sephora_collection_nourishing_moisturizer_hydrate_repair,Moisturizers
120,Josie Maran,Whipped Argan Oil Face Butter,42.0,708,28863,4.1215,1.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.45,0.58,24.71,whipped_argan_oil_face_butter,josie_maran,josie_maran_whipped_argan_oil_face_butter,Moisturizers
121,KORA Organics,Noni Glow Face Oil Mini,25.0,13,5435,4.4615,0.34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,34.32,73.53,noni_glow_face_oil_mini,kora_organics,kora_organics_noni_glow_face_oil_mini,Moisturizers
122,KORA Organics,Noni Glow Face Oil,25.0,397,3631,4.2771,0.34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.93,1.08,73.53,noni_glow_face_oil,kora_organics,kora_organics_noni_glow_face_oil,Moisturizers
123,Jack Black,Double-Duty Face Moisturizer Broad Spectrum SPF 20,28.0,351,13349,4.4672,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.63,1.27,8.48,double_duty_face_moisturizer_broad_spectrum_spf_20,jack_black,jack_black_double_duty_face_moisturizer_broad_spectrum_spf_20,Moisturizers
124,CLINIQUE,Moisture Surge Intense Skin Fortifying Hydrator,39.0,895,23966,4.3866,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.73,0.49,22.94,moisture_surge_intense_skin_fortifying_hydrator,clinique,clinique_moisture_surge_intense_skin_fortifying_hydrator,Moisturizers
125,Biossance,Squalane + Probiotic Gel Moisturizer,52.0,328,16755,4.3841,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.96,1.34,,squalane_probiotic_gel_moisturizer,biossance,biossance_squalane_probiotic_gel_moisturizer,Moisturizers
126,tarte,4-in-1 Setting Mist - Rainforest of the Sea‚  Collection,25.0,1000,68715,3.8257,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.46,0.38,10.0,4_in_1_setting_mist_rainforest_of_the_sea‚_collection,tarte,tarte_4_in_1_setting_mist_rainforest_of_the_sea‚_collection,
