Unnamed: 0,brand,name,price,n_of_reviews,n_of_loves,review_score,size,clean_product,category_Anti-Aging,category_BB_&_CC_Cream,category_Bath_&_Shower,category_Beauty_Supplements,category_Blemish_&_Acne_Treatments,category_Blotting_Papers,category_Body_Lotions_&_Body_Oils,category_Cellulite_&_Stretch_Marks,category_Decollete_&_Neck_Creams,category_Exfoliators,category_Eye_Creams_&_Treatments,category_Eye_Masks,category_Face_Masks,category_Face_Oils,category_Face_Primer,category_Face_Serums,category_Face_Sunscreen,category_Face_Wash_&_Cleansers,category_Facial_Peels,category_Foundation,category_Hair_Oil,category_Highlighter,category_Holistic_Wellness,category_Mini_Size,category_Mists_&_Essences,category_Moisturizer_&_Treatments,category_Moisturizers,category_Night_Creams,category_Setting_Spray_&_Powder,category_Sheet_Masks,category_Skincare,category_Tinted_Moisturizer,category_Toners,category_Tools,category_Value_&_Gift_Sets,reviews_to_loves_ratio,return_on_reviews,price_per_ounce,product_name_std,brand_name_std,match_key,category
423,Est√©e Lauder,Micro Essence Skin Activating Treatment Lotion Mini,62.0,2,2886,4.0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.07,200.0,24.8,micro_essence_skin_activating_treatment_lotion_mini,estée_lauder,estée_lauder_micro_essence_skin_activating_treatment_lotion_mini,Moisturizers
424,Lanc√¥me,Visionnaire Advanced Multi-Correcting Cream,89.0,27,3489,4.6667,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.77,17.28,52.35,visionnaire_advanced_multi_correcting_cream,lanc√¥me,lanc√¥me_visionnaire_advanced_multi_correcting_cream,
425,Erborian,Bamboo Matte Lotion,34.0,33,4619,4.0606,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.71,12.3,5.31,bamboo_matte_lotion,erborian,erborian_bamboo_matte_lotion,Moisturizers
426,SK-II,Facial Treatment Cleansing Oil,70.0,90,4203,4.4778,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,4.98,8.33,facial_treatment_cleansing_oil,sk_ii,sk_ii_facial_treatment_cleansing_oil,Moisturizers
427,L'Occitane,Shea Cleansing Oil,24.0,210,9005,4.4571,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33,2.12,3.58,shea_cleansing_oil,l'occitane,l'occitane_shea_cleansing_oil,Moisturizers
428,Dr. Dennis Gross Skincare,Dark Spot Sun Defense Broad Spectrum SPF 50,42.0,89,4627,3.7753,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92,4.24,24.71,dark_spot_sun_defense_broad_spectrum_spf_50,dr._dennis_gross_skincare,dr._dennis_gross_skincare_dark_spot_sun_defense_broad_spectrum_spf_50,Moisturizers
429,Dermalogica,Sound Sleep Cocoon Night Gel-Cream,80.0,105,315,4.5429,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,33.33,4.33,47.06,sound_sleep_cocoon_night_gel_cream,dermalogica,dermalogica_sound_sleep_cocoon_night_gel_cream,Moisturizers
430,Origins,Plantscription‚Ñ¢ Retinol Night Moisturizer,64.0,3,1384,4.3333,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.22,144.44,64.0,plantscription‚ñ¢_retinol_night_moisturizer,origins,origins_plantscription‚ñ¢_retinol_night_moisturizer,
431,Est√©e Lauder,Nutritious Super-Pomegranate Radiant Energy Night Cr√®me/Mask,72.0,12,4995,4.4167,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.24,36.81,,nutritious_super_pomegranate_radiant_energy_night_cr√_me_mask,estée_lauder,estée_lauder_nutritious_super_pomegranate_radiant_energy_night_cr√_me_mask,
432,First Aid Beauty,Skin Rescue Daily Face Cream,22.0,510,10850,4.1765,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.7,0.82,11.0,skin_rescue_daily_face_cream,first_aid_beauty,first_aid_beauty_skin_rescue_daily_face_cream,Moisturizers
433,lilah b.,Aglow‚Ñ¢ Face Mist,48.0,47,12484,4.1489,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.38,8.83,48.0,aglow‚ñ¢_face_mist,lilah_b.,lilah_b._aglow‚ñ¢_face_mist,
435,REN Clean Skincare,Rosa Centifolia‚Ñ¢ No.1 Purity Cleansing Balm,29.0,283,7335,4.212,3.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86,1.49,8.79,rosa_centifolia‚ñ¢_no.1_purity_cleansing_balm,ren_clean_skincare,ren_clean_skincare_rosa_centifolia‚ñ¢_no.1_purity_cleansing_balm,
436,KORRES,Wild Rose Vitamin C Brightening 24H Moisturiser,39.0,71,2620,3.0282,1.35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.71,4.27,28.89,wild_rose_vitamin_c_brightening_24h_moisturiser,korres,korres_wild_rose_vitamin_c_brightening_24h_moisturiser,Moisturizers
438,Est√©e Lauder,Set + Refresh Perfecting Makeup Mist,37.0,13,4796,4.6923,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.27,36.09,9.49,set_refresh_perfecting_makeup_mist,estée_lauder,estée_lauder_set_refresh_perfecting_makeup_mist,Moisturizers
439,Dr. Brandt Skincare,Hyaluronic Facial Cream,72.0,4,567,4.5,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.71,112.5,42.35,hyaluronic_facial_cream,dr._brandt_skincare,dr._brandt_skincare_hyaluronic_facial_cream,Moisturizers
440,Lanc√¥me,Renergie Lift Multi-Action Ultra Firming and Dark Spot Correcting Moisturizer SPF 30,99.0,633,2004,4.4155,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31.59,0.7,58.24,renergie_lift_multi_action_ultra_firming_and_dark_spot_correcting_moisturizer_spf_30,lanc√¥me,lanc√¥me_renergie_lift_multi_action_ultra_firming_and_dark_spot_correcting_moisturizer_spf_30,
441,Lanc√¥me,√ânergie de Vie The Smoothing & Plumping Water-Infused Cream,57.0,74,3917,4.2027,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.89,5.68,33.53,√ânergie_de_vie_the_smoothing_plumping_water_infused_cream,lanc√¥me,lanc√¥me_√ânergie_de_vie_the_smoothing_plumping_water_infused_cream,
442,Dior,Capture Totale Intensive Night Restorative Cr√®me,175.0,33,2654,4.4848,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.24,13.59,83.33,capture_totale_intensive_night_restorative_cr√_me,dior,dior_capture_totale_intensive_night_restorative_cr√_me,
443,Shiseido,Essential Energy Moisturizing Gel Cream,48.0,31,2075,4.3871,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.49,14.15,28.24,essential_energy_moisturizing_gel_cream,shiseido,shiseido_essential_energy_moisturizing_gel_cream,Moisturizers
444,Mario Badescu,Oil Free Moisturizer Broad Spectrum SPF 30,28.0,9,1260,4.2222,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.71,46.91,14.0,oil_free_moisturizer_broad_spectrum_spf_30,mario_badescu,mario_badescu_oil_free_moisturizer_broad_spectrum_spf_30,Moisturizers
445,Saturday Skin,Freeze Frame Beauty Essence,47.0,68,10831,4.6912,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.63,6.9,27.81,freeze_frame_beauty_essence,saturday_skin,saturday_skin_freeze_frame_beauty_essence,Moisturizers
447,Est√©e Lauder,"DayWear Advanced Multi-Protection Anti-Oxidant Creme, Normal/Combination",54.0,42,3029,4.119,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.39,9.81,31.76,"daywear_advanced_multi_protection_anti_oxidant_creme,_normal_combination",estée_lauder,"estée_lauder_daywear_advanced_multi_protection_anti_oxidant_creme,_normal_combination",Moisturizers
448,CLINIQUE,Smart Broad Spectrum SPF 15 Custom-Repair Moisturizer for Dry Combination Skin,55.0,26,1666,4.3462,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56,16.72,27.5,smart_broad_spectrum_spf_15_custom_repair_moisturizer_for_dry_combination_skin,clinique,clinique_smart_broad_spectrum_spf_15_custom_repair_moisturizer_for_dry_combination_skin,Moisturizers
449,Mario Badescu,Seaweed Night Cream,22.0,12,1588,4.25,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.76,35.42,22.0,seaweed_night_cream,mario_badescu,mario_badescu_seaweed_night_cream,Moisturizers
450,Dr. Dennis Gross Skincare,Alpha Beta¬Æ Exfoliating Moisturizer,68.0,76,4313,4.4211,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.76,5.82,34.0,alpha_beta¬æ_exfoliating_moisturizer,dr._dennis_gross_skincare,dr._dennis_gross_skincare_alpha_beta¬æ_exfoliating_moisturizer,
451,Saturday Skin,Daily Dew Hydrating Essence Mist,34.0,166,11282,4.6687,4.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.47,2.81,7.74,daily_dew_hydrating_essence_mist,saturday_skin,saturday_skin_daily_dew_hydrating_essence_mist,Moisturizers
452,Caudalie,Vinosource Mattifying Moisturizer,39.0,159,6851,4.1824,1.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.32,2.63,30.0,vinosource_mattifying_moisturizer,caudalie,caudalie_vinosource_mattifying_moisturizer,Moisturizers
453,Clarins,Super Restorative Night Age Spot Correcting Replenishing Cream,137.0,7,1606,4.5714,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.44,65.31,105.38,super_restorative_night_age_spot_correcting_replenishing_cream,clarins,clarins_super_restorative_night_age_spot_correcting_replenishing_cream,Moisturizers
454,Dior,Hydra Life Fresh Hydration Sorbet Cr√®me,69.0,88,4127,3.7841,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.13,4.3,40.59,hydra_life_fresh_hydration_sorbet_cr√_me,dior,dior_hydra_life_fresh_hydration_sorbet_cr√_me,
455,Fresh,Umbrian Clay Oil-Free Lotion,36.0,294,9838,3.9966,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.99,1.36,21.18,umbrian_clay_oil_free_lotion,fresh,fresh_umbrian_clay_oil_free_lotion,Moisturizers
456,CLINIQUE,Dramatically Different Moisturizing Cream,28.0,155,7318,4.4,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.12,2.84,16.47,dramatically_different_moisturizing_cream,clinique,clinique_dramatically_different_moisturizing_cream,Moisturizers
457,Shiseido,Perfect Cleansing Oil,35.0,87,8823,4.5632,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,5.25,5.83,perfect_cleansing_oil,shiseido,shiseido_perfect_cleansing_oil,Moisturizers
458,Josie Maran,Argan Moonstone Drops Makeup Priming and Highlighting Oil,48.0,198,11332,4.3636,1.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,2.2,28.24,argan_moonstone_drops_makeup_priming_and_highlighting_oil,josie_maran,josie_maran_argan_moonstone_drops_makeup_priming_and_highlighting_oil,Moisturizers
459,AMOREPACIFIC,MOISTURE BOUND Skin Energy Hydration Delivery System,35.0,257,9143,4.3113,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.81,1.68,12.96,moisture_bound_skin_energy_hydration_delivery_system,amorepacific,amorepacific_moisture_bound_skin_energy_hydration_delivery_system,Moisturizers
460,Peter Thomas Roth,10% Glycolic Solutions Moisturizer,45.0,316,3324,4.5443,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.51,1.44,20.45,10_glycolic_solutions_moisturizer,peter_thomas_roth,peter_thomas_roth_10_glycolic_solutions_moisturizer,Moisturizers
461,CLINIQUE,Repairwear Uplifting Firming Cream,64.5,37,1770,3.7568,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.09,10.15,37.94,repairwear_uplifting_firming_cream,clinique,clinique_repairwear_uplifting_firming_cream,Moisturizers
462,Shiseido,Essential Energy Day Cream SPF 20,48.0,13,1804,4.5385,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.72,34.91,28.24,essential_energy_day_cream_spf_20,shiseido,shiseido_essential_energy_day_cream_spf_20,Moisturizers
463,Origins,Plantscription‚Ñ¢ Powerful Lifting Cream,64.0,18,1796,4.3333,1.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,24.07,37.65,plantscription‚ñ¢_powerful_lifting_cream,origins,origins_plantscription‚ñ¢_powerful_lifting_cream,
464,Fresh,FreshFace Instant Glow Luminizer,38.0,37,6535,3.7838,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.57,10.23,38.0,freshface_instant_glow_luminizer,fresh,fresh_freshface_instant_glow_luminizer,Moisturizers
465,CLINIQUE,Smart Night Custom-Repair Moisturizer - Dry Combination,58.0,26,2249,3.9615,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.16,15.24,34.12,smart_night_custom_repair_moisturizer_dry_combination,clinique,clinique_smart_night_custom_repair_moisturizer_dry_combination,Moisturizers
466,Shiseido,Benefiance NutriPerfect Day Cream Broad Spectrum SPF 18,93.0,16,727,4.0625,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.2,25.39,54.71,benefiance_nutriperfect_day_cream_broad_spectrum_spf_18,shiseido,shiseido_benefiance_nutriperfect_day_cream_broad_spectrum_spf_18,Moisturizers
467,Jack Black,Epic Moisture‚Ñ¢ MP10‚Ñ¢ Nourishing Oil,35.0,117,3891,4.6838,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.01,4.0,17.5,epic_moisture‚ñ¢_mp10‚ñ¢_nourishing_oil,jack_black,jack_black_epic_moisture‚ñ¢_mp10‚ñ¢_nourishing_oil,
468,Shiseido,Treatment Softener Enriched,50.0,3,526,5.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.57,166.67,10.0,treatment_softener_enriched,shiseido,shiseido_treatment_softener_enriched,Moisturizers
469,bareMinerals,OIL OBSESSED‚Ñ¢ Total Cleansing Oil,30.0,92,6566,4.5978,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,5.0,5.0,oil_obsessed‚ñ¢_total_cleansing_oil,bareminerals,bareminerals_oil_obsessed‚ñ¢_total_cleansing_oil,
470,Dr. Jart+,Water Fuse Hydro Sleep Mask,48.0,234,11882,4.4145,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97,1.89,26.67,water_fuse_hydro_sleep_mask,dr._jart,dr._jart_water_fuse_hydro_sleep_mask,Moisturizers
471,Dr. Dennis Gross Skincare,Hydra-Pure¬Æ Oil-Free Moisture with Chelating Complex‚Ñ¢,78.0,125,5469,4.248,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.29,3.4,78.0,hydra_pure¬æ_oil_free_moisture_with_chelating_complex‚ñ¢,dr._dennis_gross_skincare,dr._dennis_gross_skincare_hydra_pure¬æ_oil_free_moisture_with_chelating_complex‚ñ¢,
472,Shiseido,White Lucent All Day Brightener Broad Spectrum SPF 23 Moisturizer,62.0,8,3647,4.625,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.22,57.81,34.44,white_lucent_all_day_brightener_broad_spectrum_spf_23_moisturizer,shiseido,shiseido_white_lucent_all_day_brightener_broad_spectrum_spf_23_moisturizer,Moisturizers
473,Charlotte Tilbury,Charlotte's Magic Night Cream,145.0,31,2086,3.5161,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.49,11.34,85.29,charlotte's_magic_night_cream,charlotte_tilbury,charlotte_tilbury_charlotte's_magic_night_cream,Moisturizers
474,Dr. Dennis Gross Skincare,Ferulic + Retinol Fortifying Neck Emulsion,75.0,16,3145,3.75,1.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,23.44,44.12,ferulic_retinol_fortifying_neck_emulsion,dr._dennis_gross_skincare,dr._dennis_gross_skincare_ferulic_retinol_fortifying_neck_emulsion,Moisturizers
475,Omorovicza,Rejuvenating Night Cream,235.0,20,2218,4.6,1.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.9,23.0,138.24,rejuvenating_night_cream,omorovicza,omorovicza_rejuvenating_night_cream,Moisturizers
476,Lancer,Omega Hydrating Oil,75.0,319,2479,4.5455,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.87,1.42,75.0,omega_hydrating_oil,lancer,lancer_omega_hydrating_oil,Moisturizers
477,Peter Thomas Roth,Ultra-Lite Oil-Free Moisturizer,42.0,205,4266,4.2976,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.81,2.1,24.71,ultra_lite_oil_free_moisturizer,peter_thomas_roth,peter_thomas_roth_ultra_lite_oil_free_moisturizer,Moisturizers
478,KORRES,Greek Yoghurt Advanced Nourishing Sleeping Facial,46.0,560,21222,4.3571,1.35,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.64,0.78,34.07,greek_yoghurt_advanced_nourishing_sleeping_facial,korres,korres_greek_yoghurt_advanced_nourishing_sleeping_facial,Moisturizers
479,Bobbi Brown,Extra Repair Moisturizing Balm SPF 25,100.0,23,2428,4.3478,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.95,18.9,58.82,extra_repair_moisturizing_balm_spf_25,bobbi_brown,bobbi_brown_extra_repair_moisturizing_balm_spf_25,Moisturizers
480,Est√©e Lauder,DayWear Matte Oil-Control Anti-Oxidant Moisture Gel Creme,52.0,17,2703,4.8235,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.63,28.37,30.59,daywear_matte_oil_control_anti_oxidant_moisture_gel_creme,estée_lauder,estée_lauder_daywear_matte_oil_control_anti_oxidant_moisture_gel_creme,Moisturizers
481,bareMinerals,BARE HAVEN‚Ñ¢ Essential Moisturizing Soft Cream,35.0,36,3200,4.0833,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.12,11.34,20.59,bare_haven‚ñ¢_essential_moisturizing_soft_cream,bareminerals,bareminerals_bare_haven‚ñ¢_essential_moisturizing_soft_cream,
482,Caudalie,Premieres Vendanges Moisturizing Cream,35.0,227,4914,4.4714,1.35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.62,1.97,25.93,premieres_vendanges_moisturizing_cream,caudalie,caudalie_premieres_vendanges_moisturizing_cream,Moisturizers
483,Caudalie,Vinosource Overnight Recovery Oil,50.0,71,7382,4.4366,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,6.25,50.0,vinosource_overnight_recovery_oil,caudalie,caudalie_vinosource_overnight_recovery_oil,Moisturizers
484,Clarins,Beauty Flash Balm,48.0,256,10820,4.3242,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.37,1.69,28.24,beauty_flash_balm,clarins,clarins_beauty_flash_balm,Moisturizers
485,Kopari,Coconut Face Cream,38.0,89,6739,4.2697,2.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.32,4.8,15.2,coconut_face_cream,kopari,kopari_coconut_face_cream,Moisturizers
486,philosophy,Ultimate Miracle Worker Night,80.0,59,3906,4.0169,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.51,6.81,47.06,ultimate_miracle_worker_night,philosophy,philosophy_ultimate_miracle_worker_night,Moisturizers
487,Tata Harper,Illuminating Moisturizer,85.0,80,3470,3.3625,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.31,4.2,85.0,illuminating_moisturizer,tata_harper,tata_harper_illuminating_moisturizer,Moisturizers
488,Blithe,Tundra Chaga Pressed Serum,49.0,56,6298,4.5536,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,8.13,29.17,tundra_chaga_pressed_serum,blithe,blithe_tundra_chaga_pressed_serum,Moisturizers
489,belif,Milky Hydra Balancing Moisturizer ,38.0,56,4765,4.3214,4.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.18,7.72,9.0,milky_hydra_balancing_moisturizer,belif,belif_milky_hydra_balancing_moisturizer,Moisturizers
490,Evian,Brumisateur¬Æ Natural Mineral Water Facial Spray,13.5,323,19422,4.3375,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.66,1.34,2.7,brumisateur¬æ_natural_mineral_water_facial_spray,evian,evian_brumisateur¬æ_natural_mineral_water_facial_spray,
491,Murad,Resurgence¬Æ Age‚ÄìBalancing Moisture Broad Spectrum SPF 30,74.0,23,1748,4.3043,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.32,18.71,43.53,resurgence¬æ_age‚äìbalancing_moisture_broad_spectrum_spf_30,murad,murad_resurgence¬æ_age‚äìbalancing_moisture_broad_spectrum_spf_30,
492,First Aid Beauty,Ultra Repair Tinted Moisturizer SPF 30 Customizable Kit,28.0,3,565,3.6667,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,122.22,,ultra_repair_tinted_moisturizer_spf_30_customizable_kit,first_aid_beauty,first_aid_beauty_ultra_repair_tinted_moisturizer_spf_30_customizable_kit,Moisturizers
493,Lanc√¥me,√ânergie de Vie The Overnight Recovery Sleeping Mask,66.0,124,4788,4.2419,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.59,3.42,25.38,√ânergie_de_vie_the_overnight_recovery_sleeping_mask,lanc√¥me,lanc√¥me_√ânergie_de_vie_the_overnight_recovery_sleeping_mask,
494,Murad,Multi-Vitamin Infusion Oil,72.0,61,2925,4.4262,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09,7.26,72.0,multi_vitamin_infusion_oil,murad,murad_multi_vitamin_infusion_oil,Moisturizers
